Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
NORGES BILLAKK AS;GRENSEVEIEN 73;0663;OSLO;BILSKADE;997408993
VOLDA BIL A/S;Prestegata 29;6100;Volda;"BILVERKSTED01, KONTROLLORGAN01";929799798
Vest Bilskadesenter as;Briskeveien 17 - 3229 Sandefjord;3229;SANDEFJORD;BILSKADE;990208093
BJØRKKJÆRS AUTO AS;Ole Halvorsens vei 921;3788;STABBESTAD;"BILVERKSTED01, KONTROLLORGAN01";991447075
RSA BIL Trondheim ;Vestre Rosten 71;7072;HEIMDAL;"KONTROLLORGAN01B, BILVERKSTED01B";915518389
Autohuset Fagernes AS;VALDRESVEGEN 87;2900;FAGERNES;"BILVERKSTED01B, KONTROLLORGAN01B";979672047
MARTHINSEN BIL & LAKK AS;Haugenveien 2;9146;Olderdalen;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";983903517
Haagensen Holding Enebakk AS;Industriveien 11C;2020;SKEDSMOKORSET;"BILVERKSTED01B, KONTROLLORGAN01B";992665440
Åskrysset Auto AS;Langbakken 14;1430;ÅS;"BILVERKSTED01B, KONTROLLORGAN01B";996402029
BILSERVICE LILLESTRØM AS;STORGATA 57;2003;LILLESTRØM;"BILVERKSTED01, KONTROLLORGAN01";916881436
BYENS VASK & BILPLEIE ;LERKEVEGEN 51;2209;KONGSVINGER;HJUL;918494170
TOM'S GLASS AS;ØYVIND LAMBES VEI 12;8803;SANDNESSJØEN;BILGLASS;980270408
HARSTAD BILSKADE AS;Storåkeren 9;9411;HARSTAD;"MOTORSYKKELOGMOPED, BILSKADE";996317749
ALTA CARAVAN AS;KLEGGVEIEN 3;9514;ALTA;HENGERESPALOPSBREMSEANLEGG;991172130
Wist Last & Buss AS;Sødalen Industriområde;6520;Frei;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";958315120
DEKK BILEN AS;BREKKEVEGEN 18;5380;TÆLAVÅG;HJUL;916078269
Autonor1 AS;Persveien 4 ;0581;OSLO;"BILVERKSTED01, KONTROLLORGAN01";997384199
Mardahl Verksted AS;Helleforsgt. 28;7300;ORKANGER;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";986122338
TOTEN BENSIN AS;KRABYENGA;2850;LENA;HJUL;995639874
Owren AS;Paul A. Owrens veg 30;2607;VINGROM;PABYGGER;998415500
BJØRNAAS MOTOR;RÅKA 15;7335;JERPSTAD;HJUL;989468332
DEKK1 AS avd. Foss-Eikeland;FOSSEIKEVEIEN 12;4323;SANDNES;HJUL;979579292
Bertel O. Steen Rogaland AS (skade);Vassbotnen 9 Forus;4069;STAVANGER;BILSKADE;912771784
RYDS BILGLASS AS avd 101 Ensjø;Ensjøveien 9;0655;OSLO;BILGLASS;913387783
BERTEL O STEEN OSLO AS;Økernveien 147;0513;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";984993250
NENSET GLASSVERKSTED AS;TROMMEDALSVEGEN 223;3735;SKIEN;BILGLASS;980832120
Servicehuset Kurt Andersen;Hans Væggers vei 9;9900;KIRKENES;"BILVERKSTED01B, KONTROLLORGAN01B";966977809
BIL BODY AS;Gate 1 1;6701;MÅLØY;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";986029389
Jan`s Bilberging;Grandavegen 21;6783;STRYN;BILVERKSTED01;878618742
TTS BIL OG DEKKSENTER AS;Industrivn.11;8900;Brønnøysund;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";971507195
Lassen Auto AS;Bedriftsveien 96;3735;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";968389556
HÆHRE & ISACHSEN AUTO AS;Teglverksveien 100;3057;SOLBERGELVA;"BILVERKSTED01B, KONTROLLORGAN01B";917188807
A-K maskiner AS avd Kløfta Detalj;Dyrskueveien 10;2040;KLØFTA;TRAKTOR;946468037
Oslo Bilservice AS;Tvetenveien 6;0661;OSLO;"BILVERKSTED01, KONTROLLORGAN01";989582631
GLENNE BIL A/S;Båstadlundveien 6;1781;HALDEN;"BILVERKSTED01, KONTROLLORGAN01";964348030
Hafjell Bilservice AS;Strømshuguvegen 3;2636;Øyer;"BILVERKSTED01B, KONTROLLORGAN01B";989713558
VESTLANDSKE TRAILER IMPORT AS;MOSTERØYVEIEN 86;4156;MOSTERØY;"BILVERKSTED02, BILVERKSTED01, BILVERKSTED03, PABYGGER";990942242
Sagland Bilverksted AS;Strandgata 103;4307;SANDNES;"KONTROLLORGAN01B, BILVERKSTED01B";968575112
Øye Maskin AS;Vartdal;6170;VARTDAL;TRAKTOR;829442892
Berghagan Bil A/S;Håndtverksv 2;1405;LANGHUS;"BILVERKSTED01, KONTROLLORGAN01";980615790
BÅT & LAKKSERVICE AS;Leirstrandvegen 899;9106;STRAUMSBUKTA;BILSKADE;998584477
Hurtigruta Carglass Jessheim;Industriveien 1;2050;JESSHEIM;BILGLASS;985758220
"Møller Bil Oslo Vest, avd VW";Lilleakerveien 22;0283;OSLO;"BILVERKSTED01, KONTROLLORGAN01";928481638
Turbo-Service A/S;Solvikvn. 12;1365;BLOMMENHOLM;"BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG";948289717
NILS RAGNAR THORSEN;HOJEMSVEGEN 311;7609;LEVANGER;"MOTORSYKKELOGMOPED, BILVERKSTED01";992142375
SALMINEN LAST AS;STANGNESTERMINALEN 2B;9409;HARSTAD;"KONTROLLORGAN04, BILVERKSTED02, BILVERKSTED01, BILVERKSTED03, TRAKTOR, FARTSSKRIVER";918876588
GLASSMESTER BLOMQUIST ANS;SVERRES GATE 17;3257;LARVIK;BILGLASS;955529464
RIIS MONTASJE AS avd. 826 Lillestrøm;Depotgata 10;2000;LILLESTRØM;BILGLASS;921979436
AGC AUTO VERKSTED RADOMIR WOJCIECH MAZUR;HARDANGERVEGEN 525;5268;HAUKELAND;BILVERKSTED01;918751696
SANDVEN SERVICE AS;SANDBREKKETOPPEN 30;5224;NESTTUN;"BILVERKSTED01, KONTROLLORGAN01";918716955
Biltunet Voss AS;Storrviki 2;5701;Voss;"BILVERKSTED01B, KONTROLLORGAN01B";985281726
Rune Helleland A/S;Kjøpmannsbrotet 8;4352;KLEPPE;"BILVERKSTED01B, KONTROLLORGAN01B";894950102
Toyota Bilia Levanger ;HØGSKOLEVEGEN 1;7604;LEVANGER;"BILVERKSTED01, KONTROLLORGAN01";980648915
BenTro Bil AS;Rombaksveien 45;8517;NARVIK;"BILVERKSTED01, KONTROLLORGAN01";974496313
MAX SOLFILM PORSGRUNN BILGLASS AS;HÅNDVERKSVEGEN 15;3917;PORSGRUNN;BILGLASS;998560160
Snap Drive AS avd. Sorgenfri;Sorgenfrivn. 16;7037;Trondheim;"BILVERKSTED01, KONTROLLORGAN01";971585188
Holbæks Auto;Nattvalveien 23;3140;Borgheim;BILSKADE;967854689
TEMPE DEKKSERVICE AS;LEIRFOSSVEGEN 45;7038;TRONDHEIM;HJUL;981622200
"Lena Maskin AS, avd. Lena";Lena;2850;LENA;TRAKTOR;941263003
TRETTEMO VERKSTEDDRIFT AS;TRETTEMOVEGEN 126;2056;ALGARHEIM;"BILVERKSTED03, TRAKTOR, FARTSSKRIVER";999041000
SKJEBERG AUTO  A.S.;Høysandv 12;1746;Skjeberg;"BILVERKSTED01, KONTROLLORGAN01";982750369
DAD GROUPP AS;Nordslettvegen 4;7038;TRONDHEIM;BILVERKSTED01;915619142
GS BILDELER AS;Styrmannsgata 1;7042;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";980501515
GREÅKER GLASS OG RAMMEFORRETNING AS;GREÅKERVEIEN 138;1718;GREÅKER;BILGLASS;985813582
RING AUTO SERVICE AS;Gigstadsvei 18;3511;HØNEFOSS;"KONTROLLORGAN01, BILVERKSTEDALLE";915871372
Norsk Scania AS avd. Drammen;Eikveien 20;3036;DRAMMEN;"FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE";879263662
Starco Norge AS avd. Ålesund;Gangstøvikvegen 72;6009;ÅLESUND;HJUL;919560886
Maur Bilpåbygg AS;Bokerøyveien;3060;SVELVIK;"BILBREMSE, PABYGGER, KONTROLLORGAN04";981381394
SOLBERG BIL-ELEKTRO; Nerstad;3350;PRESTFOSS;BILELEKTRODRIVSTOFFANLEGG;870229682
MOBILE ASKER AS;Stasjonsveien 40;1396;BILLINGSTAD;"BILVERKSTED01, KONTROLLORGAN01";954117774
Namdal Bilskade AS;Hestmarka;7805;NAMSOS;BILSKADE;989823388
Digre Bilverksted;Holmejordetveien 18;3267;LARVIK;"BILVERKSTED01, KONTROLLORGAN01";913795083
SUNNFJORD BIL AS;HOLTEMYRANE 10;6800;FØRDE;BILVERKSTED01;979932626
HAUKÅS ATV AS;EIDEMSBAKKEN 1;6440;ELNESVÅGEN;MOTORSYKKELOGMOPED;999310044
BORGESKOGEN DEKKSENTER AS;BORGESKOGEN 3;3160;STOKKE;HJUL;993502189
Frydenbø Bilsenter Kristiansand AS;Barstølv. 3 ;4636;KRISTIANSAND S;"BILVERKSTED01, KONTROLLORGAN01";967149098
Auto 3000 Sortland AS;Verkstedveien 6;8402;SORTLAND;"BILVERKSTED01, KONTROLLORGAN01";981596587
DEKKMANN AS AVD OPPDAL 5836;O. Skasliens veg 2;7340;OPPDAL;HJUL;974292904
LUX AUTO CAR AS;DEPOTGATA 10;2000;LILLESTRØM;BILVERKSTED01;917141487
MASKIN OG MOTOR AS;RUSSERVEGEN 1;7652;VERDAL;MOTORSYKKELOGMOPED;996242501
NAF Senter Alta;MARKVEIEN 53;9510;ALTA;KONTROLLORGAN01;987372540
Bil-Doktoren ;Lyshaugveien 132;1825;TOMTER;BILVERKSTED01;970357017
"Volvo Norge AS, Volvo Truck Center Drammen";Eikveien19;3036;DRAMMEN;"FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE";910712799
CARGLASS AS;Sofus Jørgensens vei 5;6415;MOLDE;BILGLASS;985758220
NAF Senter Stavanger;Stokkamyrveien 10;4313;Sandnes;"KONTROLLORGAN01B, BILVERKSTED01B";987372540
Mobile Førde AS;STEINAVEGEN 8;6804;FØRDE;"BILVERKSTED01, KONTROLLORGAN01";991075968
DEKK1 AS;Briskeveien 15-3229 Sandefjord;3229;SANDEFJORD;HJUL;979579292
STEINSPRUTEN BILGLASS AS AVD MOSS;Årvollskogen 90;1529;MOSS;BILGLASS;997719670
Granbo Bil & Karosseri Per Iver Skøien;Trøgstadv 361;1814;Askim;"BILVERKSTED01, KONTROLLORGAN01";970305041
Auto-Rep AS;Olav Ingstadsvei 7d;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";918423931
"BODØ V. G. SKOLE, BILAVD.";Amtmann Hegges Vei 3/4;8005;BODØ;"KONTROLLORGAN01, BILVERKSTED01";974621223
Toyota Asker og Bærum AS avd. Rud;Olav Ingstads vei 7;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";950272899
KROSBY AUTO AS;OSLOVEIEN 214;1815;ASKIM;"BILVERKSTED01, KONTROLLORGAN01";920948758
Bilia Lillehammer;Korgvegen 25;2619;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01";976023188
Thor Bergs Bilservice;Kirkebyvegen 2;2008;FJERDINGBY;"BILVERKSTED01, KONTROLLORGAN01";948977591
AUTOVISION AS;GIGSTADS VEI 24;3511;HØNEFOSS;"KONTROLLORGAN01, BILVERKSTED01";916966628
Toyota Arendal AS;Skarpnesveien 3;4823;NEDENES;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01";939168273
Bilhuset AS;Bjerkengveien 2;9910;BJØRNEVATN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";982210445
MKM Bilservice AS;Moan;7606;LEVANGER;"BILVERKSTED01, KONTROLLORGAN01";997710436
NAF Senter Bergen;Spelhaugen 4;5147;FYLLINGSDALEN;KONTROLLORGAN01;987372540
RIIS Bilglass AS avd Skøyen;Hoffsveien 11;0275;OSLO;BILGLASS;921979436
Møller Bil Hedmark AS avd. Møller Bil Tynset;Elfengveien 2;2500;Tynset;"BILVERKSTED01, KONTROLLORGAN01";976951336
SPORTWAGEN AS;VERPETVEIEN 17;1540;VESTBY;BILVERKSTED01;989147218
Autoria Kolboten AS;Tømteveien 10;1410;KOLBOTN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";953581388
Gumpens Auto Øst  AS;Stemmane 3 Sørl. parken;4636;KRISTIANSAND S;"KONTROLLORGAN01, BILVERKSTED01, BILSKADE";994572911
"Sandhaug AS, avd. Last";Amsrudvegen 1-3;2827;HUNNDALEN;"BILVERKSTED03, PABYGGER, KONTROLLORGAN03";876494752
VALLDAL BILSENTER A/S;Valldal;6210;Valldal;"BILVERKSTED01, BILVERKSTED02, KONTROLLORGAN01B";961121094
SIGDAL BIL & LANDBRUK V/ PER KRISTIAN KRISTIANSEN;Vestre Grønseth;3355;SOLUMSMOEN;BILSKADE;897928302
Vinor Bil II AS ;Hagevegen 13B;2613;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01";985978743
S E LARSEN GLASS AS;STOREBOTN 11;5309;KLEPPESTØ;BILGLASS;947449842
WIST LAST OG BUSS AS;Ørbradden 16;8663;Mosjøen;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";958315120
BILTEKNISK AS;AUSTMO;8690;HATTFJELLDAL;BILVERKSTED01;998086272
ÅSENSENTERET ELBILVERKSTED AS;AUGLENDSMYRÅ 8;4016;STAVANGER;BILVERKSTED01B;917634785
SANDVIKEN BILLAKKERING OG DEKK AS;SANDVIKSVEIEN 163A;5035;BERGEN;HJUL;914498848
Søreide Bilverksted AS;Ytrebygdsvegen 37;5252;SØREIDGREND;"BILVERKSTED01, KONTROLLORGAN01";912597229
BLUESMOBIL A/S;Smedveien 2;8208;FAUSKE;BILVERKSTED01B;870896042
Tønne Karosseri & Lakk AS;Merkurvegen 1 B;7652;VERDAL;"BILSKADE, BILGLASS";887773602
Møller Bil Follo AS avd. Møller Bil Skadesenter Follo ;Nordbyvegen 96;1406;SKI;BILSKADE;912174786
Johs. Blomdal AS;Røldalsvegen 44;5750;ODDA;"BILVERKSTED01, KONTROLLORGAN01";985470227
Brua Bilverksted AS;Porsgrunnsveien 188;3735;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";911622750
Nordic Last og Buss AS avd. Storslett;Bussveien 7;9151;STORSLETT;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";979463332
TOYOTA DRAMMEN A/S;ING. RYBERGSGT. 108;3027;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";947602330
Jørns Bil og Brems AS;Østre Aker vei 68;0581;Oslo;"BILVERKSTED01, KONTROLLORGAN01";996549089
Brdr. Ellefsens Eftf. AS ;Kranveien 58 B;4950;Risør;"BILVERKSTED01B, KONTROLLORGAN01B";994705407
DEKKSERVICE BREIM AS;Fjellvegen 5;6826;BYRKJELO;HJUL;818614802
STEINSVIK BIL AS;Osvegen 256;5229;KALANDSEIDET;"BILVERKSTED01, KONTROLLORGAN01";914462428
YAMAHA HARDANGER AS;HARDANGERFJORDVEGEN 63;5600;NORHEIMSUND;HJUL;913433378
Autoco Bærum AS;Rudsletta 88;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";951413828
STRYN AUTOSERVICE AUFLEM;LINDSET;6783;STRYN;HJUL;992214511
Omdals Bilverksted;Postveien 51 B;4563;Borhaug;BILVERKSTED01;980385116
ELVERUM  BIL OG DEKK  AS;"Torggata 3, Amfi Elverum";2408;Elverum;"BILVERKSTED01, KONTROLLORGAN01";983777864
CUSTOM SHOP ANS;Havnegata 28;8400;SORTLAND;HJUL;971179902
MOTOR FORUM AS BERGEN;Øvre Kråkenes 51 ;5152;BØNES;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01";931806858
Furulys Bilservice AS;Fievroluodda 3;9520;Kautokeino;"BILVERKSTED01B, KONTROLLORGAN01B";974439603
Lillestrøm Bilservice AS;Odalsgata 29;2000;LILLESTRØM;"BILVERKSTED01, KONTROLLORGAN01";997986008
EKEBERG AUTO    AS;Sentrumsveien 116;3748;SILJAN;"BILVERKSTED01, KONTROLLORGAN01";957113737
VIANOR AS. Avd Bodø;Dreyfushammarn 15;8012;BODØ;HJUL;935429447
KOPPANG AUTO A/S ;Kjemsjøveien 22;2480;Koppang;"BILVERKSTED01, KONTROLLORGAN01";932412063
Trucknor Hordaland AS;Søre Brurås 3;5131;NYBORG;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";832439622
Style Auto Moss AS;Årvollskogen 27;1529;Moss;"BILVERKSTED01, KONTROLLORGAN01";934334841
GILDSET TRANSPORT AS;Soknesøran;7290;STØREN;"BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER, PABYGGER";998075688
Omniservice AS avd. Mandal;Sommerkroveien 18;4515;MANDAL;"BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN02, KONTROLLORGAN03, KONTROLLORGAN01B";919424001
DEKKTEAM KRISTIANSUND AS;Pilotveien 7;6517;KRISTIANSUND N;HJUL;991853227
AUTOSERVICE ELVERUM AS;INDUSTRIGATA 17;2406;ELVERUM;BILVERKSTED01;917568243
Alsvåg Autorep AS;Alsvåg;8432;Alsvåg;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";879605342
BilXtra Lakselv AS;Laatasveien;9700;LAKSELV;"BILVERKSTED01, KONTROLLORGAN01";990818398
Solli Smie;Hvamsvegen 883;1929;Auli;"PABYGGER, BILVERKSTED03";880700022
Nordvik AS avd. Andøy;Saura;8485;DVERBERG;"BILVERKSTED01, KONTROLLORGAN01";946549770
Torpa Serviceverksted T Fisher;Nordtorpaveien 143;2881;Aust-Torpa;BILVERKSTED01B;970331077
Autocenteret AS;Ankenesveien 130;8520;ANKENES;"BILVERKSTED01B, KONTROLLORGAN01B";976263782
EH Bilsenter AS;Flikkaveien 1;4400;Flekkefjord;"BILVERKSTED01, KONTROLLORGAN01";938509336
DEKK EXPRESS AS;ANKENESVEIEN 148;8520;ANKENES;HJUL;911630753
Vatnesenteret Bil AS;Vatnefjordvegen 16;6265;Vatne;"BILVERKSTED01, KONTROLLORGAN01";920559557
Jensen&Scheele Bil AS;Svingen syd;1789;BERG I ØSTFOLD;BILSKADE;960968727
VIANOR AS avd. Voss;Brynaskogen 45;5705;VOSS;HJUL;935429447
DEKK COMPANIET AS;KOKSTADDALEN 2;5257;KOKSTAD;HJUL;913277546
TB Verkstedsenter AS;Byaveien 50;7715;STEINKJER;"BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN03, FARTSSKRIVER, HJUL";999268439
TOYOTA OSLO AS avd ALNABRU;Breivollveien 27;0668;OSLO;"BILVERKSTED01, KONTROLLORGAN01";950273038
FRANKS VEISERVICE AS;STORGATA 24;9406;HARSTAD;HJUL;813778262
SALTVIK PÅBYGG AS;TEKNOLOGIVEIEN 19;8517;NARVIK;PABYGGER;917606811
Team Verksted Trøndelag AS avd. Tr.heim;Sorgenfriveien 7;7037;TRONDHEIM;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";930462640
Alta Motor AS ;Strandveien 60;9513;ALTA;"BILVERKSTED01B, KONTROLLORGAN01B";915975062
FANA DEKKSENTER AS;FANAVEGEN 15;5221;NESTTUN;HJUL;997726669
BIL OG ANLEGGSDEKK AS avd. Lura;JAKOB ASKELANDS VEI 1;4314;SANDNES;HJUL;932580861
ERIK ARNESEN BRYN AS avd Audi;NILS HANSENS VEI 1;0667;OSLO;"KONTROLLORGAN01, BILVERKSTED01";976547551
COOP RØROS SA AVD STATOIL SERVICE BREKKEN;Brekken;7370;BREKKEBYGD;HJUL;988657573
ALNABRU BILVASK OG BILPLEIE AS;SMALVOLLVEIEN 61;0667;OSLO;HJUL;912218481
TRUCKNOR ROGALAND AS avd. Forus;Moseidsletta 101;4033;STAVANGER;"BILVERKSTED03, KONTROLLORGAN03";981925157
Trysil Bilberging AS;Mosanden;2420;TRYSIL;TRAKTOR;982495571
LEKNES SERVICESTASJON AS;STORGATA 35;8370;LEKNES;HJUL;936015298
AQUASHINE BILPLEIE & DEKK AS;GLADENGVEIEN 16;0661;OSLO;HJUL;995855690
RIIS MONTASJE AS MOSJØEN;Industriveien 4;8657;MOSJØEN;BILGLASS;921979436
Biltrend Langnes AS;Skognesveien 2;9016;Tromsø;"FARTSSKRIVER, BILVERKSTED01B, KONTROLLORGAN01B";977249007
Norbygdan Bil og Landbruk;Votndalen;3570;ÅL;"BILVERKSTED01, KONTROLLORGAN01";989643878
Os Auto AS ;Jordmorsvingen 4;5200;Os;"BILVERKSTED01, KONTROLLORGAN01, BILSKADE";988470643
DEKKMESTER'N  K SERVICE PALMAR KOPPERSTAD;Koperstadveien 72;6098;NERLANDSØY;HJUL;989551876
FINNSKOGEN KRO OG MOTELL OG EIENDOM AS;Finnskogveien 2468;2256;GRUE FINNSKOG;BILVERKSTED01;976258185
KR SVENDSEN AS;Lars Meyersgate 9A;8622;MO I RANA;BILGLASS;916472714
Trucknor Førde AS;Øyrane 10;6800;FØRDE;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";997741668
SVEINS AUTO A/S;Stormyrveien 4;8008;BODØ;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";979496052
"Felleskjøpet Agri SA, avd. Stjørdal";Wergelandsveien 23;7504;STJØRDAL;"TRAKTOR, HENGERESPALOPSBREMSEANLEGG";911608103
Svarstad Bil A/S;Lågaveien 1;3275;SVARSTAD;"BILVERKSTED01, KONTROLLORGAN01";997770544
"Sarpsborg kommune, Team Verksted/transport";Iseveien 2;1739;BORGENHAUGEN;"BILVERKSTED01B, KONTROLLORGAN01B";938801363
MITT DEKKHOTELL KOKSTAD AS;KOKSTADFLATEN 40;5257;KOKSTAD;HJUL;919430729
PORSCHE CENTER BERGEN AS;Lønningsflaten 31;5258;BLOMSTERDALEN;"KONTROLLORGAN01, BILVERKSTED01";914985153
BIL OG ANLEGGSDEKK AS avd. Forus;Maskinveien 20;4033;STAVANGER;HJUL;932580861
ROALDMOEN AS;INDUSTRIVEGEN 68;6652;SURNA;"BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR";913056434
RSA BIL Kristiansand;"Barstølveien 30, Pb 9235 Sørlandsparken";4697;KRISTIANSAND S;"BILVERKSTED01B, KONTROLLORGAN01B";915518389
Autoservice Fredrikstad AS;Bruket 39;1621;GRESSVIK;"BILVERKSTED01, KONTROLLORGAN01";979612664
Motorpartner Namsos A/S;Navarvn 5A;7820;Spillum;"BILVERKSTED01, KONTROLLORGAN01";974361981
JØLSTER BIL AS;SKEI I JØLSTER;6843;SKEI I JØLSTER;"BILVERKSTED01B, KONTROLLORGAN01B, LYSUTSTYR";880365002
GS BILDELER AS avd Skien;Rødmyrsvingen 60;3735;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";980501515
BERTEL O. STEEN BERGEN AS - NYBORG;LIAMYRANE 5;5132;NYBORG;HJUL;910116851
BODAHL-JOHANSEN AS avd GAMLE FREDRIKSTAD;Habornveien 46;1630;GAMLE FREDRIKSTAD;HJUL;965308032
"Kverneland Bil AS, Bergen Minde";Fjøsangerveien 68 B;5068;Bergen;"BILVERKSTED01B, KONTROLLORGAN01B";977047684
KJARTAN MOE DEKKSALG AS;Mo 86;8908;BRØNNØYSUND;HJUL;919850345
Nordalen Landbruksservice;Mølslet;7170;ÅFJORD;"PABYGGER, TRAKTOR";971058129
Bil & Båt Service AS;Tunnelveien 1;8590;Kjøpsvik;"BILVERKSTED01, KONTROLLORGAN01";964096058
MOSS BILVERKSTED AS;Fjordveien 10;1532;MOSS;BILVERKSTED01;948207559
Maskin & Auto AS;Løkeveien 302;3160;STOKKE;BILVERKSTED01;980382605
AUTO NOR AS;Søvikveien 61;8804;SANDNESSJØEN;"BILVERKSTEDALLE, KONTROLLORGAN01, BILVERKSTED01";999529429
Markveien Karosseri A/S;Ensjøveien11;0655;Oslo ;BILSKADE;979952937
Remseth Maskin AS;"Valldalsvegen, Djupøya";6210;VALLDAL;TRAKTOR;987951281
Eikås Maskin;Bryggeså;4596;Eiken;"BILVERKSTED01, KONTROLLORGAN01";882126552
Lena Autoservice AS;Vallevegen 5;2850;LENA;"BILVERKSTED01, KONTROLLORGAN01";978639240
Fornebu Bil AS;Snarøyveien 73;1367;SNARØYA;"BILVERKSTED01B, PABYGGER, KONTROLLORGAN01B";887136122
AK maskiner avd. Hokksund;Industriveien 11;3301;HOKKSUND;TRAKTOR;946468037
Oddemarka Auto AS;Østre Ringvei 86;4632;KR.SAND;"BILVERKSTED01, KONTROLLORGAN01";980229661
DEKKCENTERET BERGEN AS;Tellnes Næringspark 28;5357;FJELL;HJUL;985737614
GREBSTAD BIL AS;Kyrkjevegen 200;6230;Sykkylven;"BILVERKSTED01B, KONTROLLORGAN01B";912067610
LIER TRAKTOR A/S;Øvre Eikervei 75;3048;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";935041511
SVEBERG BIL OG OPPRETTING;Stavsjøveien 28;7550;HOMMELVIK;"BILVERKSTED01B, BILSKADE";971177489
CARGLASS AS AVD. STJØRDAL;Wessels veg 2;7502;STJØRDAL;BILGLASS;985758220
BIL & DEKK SERVICE AS;TUNELLVEIEN 4 A;9912;HESSENG;HJUL;983167640
MOLDE KOMMUNE;Plutovegen 7;6413;MOLDE;"TRAKTOR, PABYGGER";944020977
Bil og Hydraulikk AS;Øyane 2;6770;NORDFJORDEID;"BILVERKSTED01B, PABYGGER, KONTROLLORGAN01B";996526844
OVERAAE AS;Grønøra 17;7300;ORKANGER;HJUL;935872634
"RIIS MONTASJE AS, Avd Kristiansand";Barstølveien 5D;4636;KRISTIANSAND S;BILGLASS;921979436
Teknisk Bureau AS avd. Personbil;Skattøraveien 48;9018;TROMSØ;"BILVERKSTED01, KONTROLLORGAN01";925162728
Lomoen Bil AS;Handelsveien 9;2640;VINSTRA;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";983241824
Kongsbil AS;Industriveien 23;2212;KONGSVINGER;"BILVERKSTED01B, KONTROLLORGAN01B";912098761
BOLLI MOTOR  AS;Lyngstad;6493;Lyngstad;"BILVERKSTEDALLE, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN04";983396127
CITY VEISERVICE AS;Alttaluodda;9520;KAUTOKEINO;HJUL;995890135
Stange Servicesenter AS;Torstadvegen 5;2335;STANGE;"BILVERKSTED01B, KONTROLLORGAN01B";999056733
CITY BILPLEIE AS;MIDTSTRANDA 57;2321;HAMAR;BILGLASS;943900140
Bobilsenteret  Namsos AS;Axel Sellægs veg 2;7805;NAMSOS;"BILVERKSTED01B, KONTROLLORGAN01B";981524594
DEKKHALLEN AS;BJERKELUNDSVEIEN 18;1358;JAR;HJUL;996239535
Auto 8-8 Vestlandske AS;Lerstadvegen 534;6018;ÅLESUND;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";982779529
Gustavsen Bil AS;Amsrudvegen 5;2827;HUNNDALEN;"BILVERKSTED01B, KONTROLLORGAN01B";957217028
NORD - AUTO VERDAL AS;Venusvegen 10B;7652;VERDAL;"BILVERKSTED01, KONTROLLORGAN01";935253128
Posche Center Son AS;Breivikbråteveien 33;1555;SON;"BILVERKSTED01, KONTROLLORGAN01, BILSKADE";966307714
Nor-Slep AS;Pindslev. 19;3221;SANDEFJORD;PABYGGER;933730050
